Tienda,Cesion,"Fecha Salida","Fecha Entrada"
432,0017987613,"2018-04-16 09:18:32","2018-04-16 09:24:32"
432,0017998250,"2018-04-16 11:33:39","2018-04-16 11:39:33"
432,0018001834,"2018-04-16 10:32:12","2018-04-16 10:44:04"
432,0018003765,"2018-04-16 08:54:19","2018-04-16 08:58:01"
432,0018003883,"2018-04-16 08:18:06","2018-04-16 08:21:47"
432,0018004501,"2018-04-16 09:47:21","2018-04-16 09:52:17"
432,0018004790,"2018-04-16 08:49:32","2018-04-16 08:56:08"
432,0018004826,"2018-04-16 09:23:03","2018-04-16 09:35:44"
432,0018008512,"2018-04-16 08:20:57","2018-04-16 08:26:47"
432,0018009005,"2018-04-16 08:12:47","2018-04-16 08:16:47"
432,0018009358,"2018-04-16 08:17:51","2018-04-16 08:21:47"
432,0018009493,"2018-04-16 08:53:44","2018-04-16 08:57:20"
432,0018010500,"2018-04-16 08:54:00","2018-04-16 08:57:20"
432,0018010943,"2018-04-16 08:07:37","2018-04-16 08:11:47"
432,0018011191,"2018-04-16 08:28:12","2018-04-16 08:31:47"
432,0018012147,"2018-04-16 11:12:43","2018-04-16 11:16:07"
432,0018012918,"2018-04-16 08:54:50","2018-04-16 09:01:14"
432,0018013150,"2018-04-16 10:59:29","2018-04-16 11:11:07"
432,0018013890,"2018-04-16 10:13:21","2018-04-16 10:44:04"
432,0018015019,"2018-04-16 09:18:19","2018-04-16 09:24:32"
432,0018015404,"2018-04-16 11:48:55","2018-04-16 11:56:57"
432,0018015600,"2018-04-16 10:13:08","2018-04-16 10:44:04"
432,0018015899,"2018-04-16 08:49:45","2018-04-16 08:56:08"
432,0018016753,"2018-04-16 09:13:22","2018-04-16 09:19:32"
432,0018017118,"2018-04-16 11:15:34","2018-04-16 11:21:07"
432,0018017307,"2018-04-16 09:16:28","2018-04-16 09:24:32"
432,0018017868,"2018-04-16 10:38:28","2018-04-16 10:44:04"
432,0018017943,"2018-04-16 10:12:31","2018-04-16 10:44:04"
432,0018018779,"2018-04-16 11:11:52","2018-04-16 11:16:07"
432,0018021304,"2018-04-16 11:15:56","2018-04-16 11:21:07"
432,0018021464,"2018-04-16 10:39:18","2018-04-16 10:44:05"
432,0018021667,"2018-04-16 10:42:50","2018-04-16 10:46:06"
432,0018021922,"2018-04-16 11:03:36","2018-04-16 11:11:07"
432,0018021927,"2018-04-16 09:50:43","2018-04-16 09:57:17"
432,0018022649,"2018-04-16 11:05:49","2018-04-16 11:11:07"
432,0018024017,"2018-04-16 10:31:26","2018-04-16 10:44:04"
432,0018024473,"2018-04-16 11:11:10","2018-04-16 11:16:07"
432,0018024484,"2018-04-16 10:14:09","2018-04-16 10:44:04"
432,0018024822,"2018-04-16 09:30:42","2018-04-16 09:36:03"
432,0018025156,"2018-04-16 10:41:14","2018-04-16 10:45:02"
432,0018029185,"2018-04-16 11:51:07","2018-04-16 11:56:57"
468,0017972120,"2018-04-16 11:12:22","2018-04-16 11:18:50"
468,0017981010,"2018-04-16 09:31:50","2018-04-16 09:36:17"
468,0017994127,"2018-04-16 08:33:04","2018-04-16 08:40:59"
468,0017995295,"2018-04-16 09:55:57","2018-04-16 10:04:20"
468,0018001803,"2018-04-16 11:08:24","2018-04-16 11:14:49"
468,0018004736,"2018-04-16 11:28:35","2018-04-16 11:37:19"
468,0018009792,"2018-04-16 09:31:28","2018-04-16 09:35:17"
468,0018011100,"2018-04-16 09:47:30","2018-04-16 10:04:20"
468,0018011768,"2018-04-16 11:42:06","2018-04-16 11:48:07"
468,0018012177,"2018-04-16 11:59:11","2018-04-16 12:06:39"
468,0018012916,"2018-04-16 11:10:09","2018-04-16 11:14:50"
468,0018013593,"2018-04-16 08:35:21","2018-04-16 08:40:59"
468,0018014028,"2018-04-16 10:05:45","2018-04-16 10:21:12"
468,0018014524,"2018-04-16 11:41:09","2018-04-16 11:48:07"
468,0018014761,"2018-04-16 11:10:37","2018-04-16 11:14:50"
468,0018015055,"2018-04-16 09:53:05","2018-04-16 10:04:20"
468,0018015296,"2018-04-16 08:55:27","2018-04-16 09:21:11"
468,0018015392,"2018-04-16 09:40:27","2018-04-16 10:00:40"
468,0018015817,"2018-04-16 11:54:19","2018-04-16 11:58:56"
468,0018016158,"2018-04-16 09:52:15","2018-04-16 10:04:20"
468,0018016348,"2018-04-16 11:09:37","2018-04-16 11:14:50"
468,0018016988,"2018-04-16 08:15:13","2018-04-16 08:20:18"
468,0018017185,"2018-04-16 09:53:57","2018-04-16 10:04:20"
468,0018018531,"2018-04-16 11:07:25","2018-04-16 11:14:49"
468,0018018974,"2018-04-16 08:43:07","2018-04-16 08:50:59"
468,0018020843,"2018-04-16 09:48:48","2018-04-16 10:04:20"
468,0018022200,"2018-04-16 09:43:17","2018-04-16 10:04:20"
468,0018022573,"2018-04-16 11:11:43","2018-04-16 11:18:50"
468,0018022926,"2018-04-16 11:51:45","2018-04-16 11:58:56"
468,0018023757,"2018-04-16 08:48:57","2018-04-16 08:55:59"
468,0018023830,"2018-04-16 11:56:32","2018-04-16 12:00:28"
468,0018024113,"2018-04-16 09:45:22","2018-04-16 10:04:20"
468,0018024288,"2018-04-16 09:44:19","2018-04-16 10:04:20"
468,0018025834,"2018-04-16 09:43:39","2018-04-16 10:04:20"
468,0018025874,"2018-04-16 09:50:02","2018-04-16 10:04:20"
468,0018026998,"2018-04-16 11:06:33","2018-04-16 11:14:17"
468,0018027414,"2018-04-16 11:11:24","2018-04-16 11:16:53"
468,0018032225,"2018-04-16 11:58:42","2018-04-16 12:06:39"
472,0017921613,"2018-04-16 09:36:24","2018-04-16 10:25:00"
472,0017956495,"2018-04-16 10:06:04","2018-04-16 10:25:01"
472,0018001009,"2018-04-16 10:09:03","2018-04-16 10:38:30"
472,0018002160,"2018-04-16 09:59:12","2018-04-16 10:25:01"
472,0018009465,"2018-04-16 10:07:44","2018-04-16 10:25:01"
472,0018015608,"2018-04-16 09:58:58","2018-04-16 10:25:01"
472,0018017271,"2018-04-16 10:18:08","2018-04-16 10:38:30"
472,0018020342,"2018-04-16 10:18:24","2018-04-16 10:38:30"
472,0018024343,"2018-04-16 10:53:10","2018-04-16 11:02:37"
472,0018024611,"2018-04-16 10:13:40","2018-04-16 10:38:30"
472,0018027178,"2018-04-16 11:42:34","2018-04-16 11:45:41"
472,0018027421,"2018-04-16 11:35:40","2018-04-16 11:40:41"
952,0017986575,"2018-04-16 08:49:08","2018-04-16 09:27:58"
952,0017999200,"2018-04-16 08:56:00","2018-04-16 09:27:58"
952,0018000419,"2018-04-16 09:51:47","2018-04-16 10:28:15"
952,0018001735,"2018-04-16 11:05:25","2018-04-16 11:34:32"
952,0018002094,"2018-04-16 11:49:12","2018-04-16 11:53:17"
952,0018005430,"2018-04-16 08:55:36","2018-04-16 09:27:58"
952,0018008816,"2018-04-16 10:34:39","2018-04-16 10:40:30"
952,0018008898,"2018-04-16 08:37:01","2018-04-16 09:27:38"
952,0018008913,"2018-04-16 09:23:38","2018-04-16 09:27:59"
952,0018010698,"2018-04-16 08:44:32","2018-04-16 09:27:58"
952,0018011052,"2018-04-16 08:54:59","2018-04-16 09:27:58"
952,0018012738,"2018-04-16 11:50:21","2018-04-16 11:53:17"
952,0018013658,"2018-04-16 08:31:43","2018-04-16 09:27:38"
952,0018015254,"2018-04-16 10:55:44","2018-04-16 10:58:00"
952,0018016192,"2018-04-16 08:26:02","2018-04-16 09:27:30"
952,0018016550,"2018-04-16 08:56:24","2018-04-16 09:27:58"
952,0018017683,"2018-04-16 10:15:38","2018-04-16 10:30:13"
952,0018018040,"2018-04-16 09:11:58","2018-04-16 09:27:58"
952,0018018866,"2018-04-16 08:50:10","2018-04-16 09:27:58"
952,0018021647,"2018-04-16 09:22:40","2018-04-16 09:27:58"
952,0018021852,"2018-04-16 08:41:29","2018-04-16 09:27:39"
952,0018022271,"2018-04-16 08:42:13","2018-04-16 09:27:57"
952,0018022332,"2018-04-16 09:32:16","2018-04-16 09:41:15"
952,0018022473,"2018-04-16 08:46:22","2018-04-16 09:27:58"
952,0018022563,"2018-04-16 10:30:14","2018-04-16 10:35:30"
952,0018022769,"2018-04-16 11:57:37","2018-04-16 12:01:25"
952,0018023110,"2018-04-16 11:19:45","2018-04-16 11:34:32"
952,0018023837,"2018-04-16 08:32:29","2018-04-16 09:27:38"
952,0018024315,"2018-04-16 11:02:57","2018-04-16 11:34:32"
952,0018026055,"2018-04-16 11:47:50","2018-04-16 11:50:26"
952,0018026314,"2018-04-16 11:27:19","2018-04-16 11:34:32"
952,0018026574,"2018-04-16 09:34:12","2018-04-16 09:41:41"
952,0018026729,"2018-04-16 10:51:24","2018-04-16 10:54:54"
952,0018027173,"2018-04-16 11:13:12","2018-04-16 11:34:32"
952,0018027619,"2018-04-16 11:14:27","2018-04-16 11:34:32"
952,0018030636,"2018-04-16 11:26:20","2018-04-16 11:34:32"
955,0017955038,"2018-04-16 08:44:27","2018-04-16 09:27:29"
955,0017960053,"2018-04-16 08:45:39","2018-04-16 09:27:29"
955,0017972638,"2018-04-16 08:45:26","2018-04-16 09:27:29"
955,0017973172,"2018-04-16 08:44:11","2018-04-16 09:27:29"
955,0017973532,"2018-04-16 08:37:50","2018-04-16 09:27:29"
955,0017976145,"2018-04-16 08:43:01","2018-04-16 09:27:29"
955,0017976871,"2018-04-16 08:45:06","2018-04-16 09:27:29"
955,0017978891,"2018-04-16 08:38:05","2018-04-16 09:27:29"
955,0017979407,"2018-04-16 08:44:43","2018-04-16 09:27:29"
955,0017979559,"2018-04-16 08:43:52","2018-04-16 09:27:29"
955,0017981777,"2018-04-16 08:43:21","2018-04-16 09:27:29"
955,0018001933,"2018-04-16 08:42:17","2018-04-16 09:27:29"
955,0018001969,"2018-04-16 08:39:30","2018-04-16 09:27:29"
955,0018007907,"2018-04-16 08:49:47","2018-04-16 09:27:30"
955,0018008150,"2018-04-16 08:49:10","2018-04-16 09:27:30"
955,0018009822,"2018-04-16 08:37:11","2018-04-16 09:27:29"
955,0018011481,"2018-04-16 08:47:21","2018-04-16 09:27:30"
955,0018014850,"2018-04-16 08:42:41","2018-04-16 09:27:29"
955,0018015634,"2018-04-16 08:52:22","2018-04-16 09:27:30"
955,0018015648,"2018-04-16 08:39:51","2018-04-16 09:27:29"
955,0018016611,"2018-04-16 08:53:07","2018-04-16 09:27:30"
955,0018016640,"2018-04-16 08:48:12","2018-04-16 09:27:30"
955,0018017306,"2018-04-16 08:36:49","2018-04-16 09:27:29"
955,0018018309,"2018-04-16 08:48:51","2018-04-16 09:27:30"
955,0018019630,"2018-04-16 08:46:40","2018-04-16 09:27:30"
955,0018022192,"2018-04-16 08:41:36","2018-04-16 09:27:29"
955,0018022379,"2018-04-16 09:33:07","2018-04-16 09:57:06"
955,0018022766,"2018-04-16 08:53:23","2018-04-16 09:27:30"
955,0018023496,"2018-04-16 08:46:19","2018-04-16 09:27:30"
955,0018023700,"2018-04-16 08:46:54","2018-04-16 09:27:30"
955,0018023903,"2018-04-16 08:48:00","2018-04-16 09:27:30"
955,0018024031,"2018-04-16 08:52:36","2018-04-16 09:27:30"
955,0018024299,"2018-04-16 08:45:57","2018-04-16 09:27:30"
955,0018024686,"2018-04-16 08:51:51","2018-04-16 09:27:30"
955,0018025584,"2018-04-16 08:49:25","2018-04-16 09:27:30"
958,0017912016,"2018-04-16 09:44:01","2018-04-16 09:28:35"
958,0017928605,"2018-04-16 09:07:02","2018-04-16 08:57:13"
958,0017972202,"2018-04-16 09:17:00","2018-04-16 09:00:44"
958,0017986454,"2018-04-16 09:12:38","2018-04-16 08:57:13"
958,0017994351,"2018-04-16 09:11:36","2018-04-16 08:57:13"
958,0018000927,"2018-04-16 09:10:07","2018-04-16 08:57:13"
958,0018001525,"2018-04-16 09:08:45","2018-04-16 08:57:13"
958,0018001775,"2018-04-16 09:27:14","2018-04-16 09:12:35"
958,0018001934,"2018-04-16 09:26:41","2018-04-16 09:12:35"
958,0018003207,"2018-04-16 09:03:33","2018-04-16 08:52:13"
958,0018004093,"2018-04-16 11:53:56","2018-04-16 11:51:54"
958,0018004231,"2018-04-16 09:14:32","2018-04-16 08:57:13"
958,0018004536,"2018-04-16 09:21:28","2018-04-16 09:09:23"
958,0018004639,"2018-04-16 09:11:55","2018-04-16 08:57:13"
958,0018004723,"2018-04-16 09:08:23","2018-04-16 08:57:13"
958,0018006162,"2018-04-16 09:15:01","2018-04-16 08:57:13"
958,0018007694,"2018-04-16 11:55:06","2018-04-16 11:51:54"
958,0018008310,"2018-04-16 11:42:17","2018-04-16 11:51:54"
958,0018008964,"2018-04-16 09:16:00","2018-04-16 08:57:13"
958,0018010440,"2018-04-16 09:07:33","2018-04-16 08:57:13"
958,0018010596,"2018-04-16 11:58:41","2018-04-16 11:51:54"
958,0018010670,"2018-04-16 09:43:14","2018-04-16 09:28:35"
958,0018011050,"2018-04-16 09:18:24","2018-04-16 09:00:45"
958,0018012001,"2018-04-16 09:14:15","2018-04-16 08:57:13"
958,0018012624,"2018-04-16 10:41:00","2018-04-16 10:27:18"
958,0018013202,"2018-04-16 09:19:38","2018-04-16 09:09:02"
958,0018013597,"2018-04-16 10:43:12","2018-04-16 10:27:18"
958,0018013640,"2018-04-16 11:58:08","2018-04-16 11:51:54"
958,0018013913,"2018-04-16 09:12:53","2018-04-16 08:57:13"
958,0018014889,"2018-04-16 09:28:32","2018-04-16 09:12:36"
958,0018015082,"2018-04-16 10:45:12","2018-04-16 10:27:18"
958,0018015318,"2018-04-16 09:24:22","2018-04-16 09:12:35"
958,0018016162,"2018-04-16 09:23:16","2018-04-16 09:09:23"
958,0018016577,"2018-04-16 09:09:34","2018-04-16 08:57:13"
958,0018016598,"2018-04-16 09:04:03","2018-04-16 08:57:13"
958,0018016969,"2018-04-16 09:11:03","2018-04-16 08:57:13"
958,0018017396,"2018-04-16 09:17:45","2018-04-16 09:00:44"
958,0018018611,"2018-04-16 09:25:33","2018-04-16 09:12:35"
958,0018019742,"2018-04-16 11:57:11","2018-04-16 11:51:54"
958,0018020249,"2018-04-16 11:43:21","2018-04-16 11:51:54"
958,0018020722,"2018-04-16 09:22:11","2018-04-16 09:09:23"
958,0018021078,"2018-04-16 11:59:29","2018-04-16 11:51:54"
958,0018021186,"2018-04-16 09:44:31","2018-04-16 09:28:35"
958,0018022176,"2018-04-16 10:42:23","2018-04-16 10:27:18"
958,0018022212,"2018-04-16 10:44:26","2018-04-16 10:27:18"
958,0018022351,"2018-04-16 09:20:47","2018-04-16 09:09:23"
958,0018022404,"2018-04-16 09:20:27","2018-04-16 09:09:23"
958,0018022676,"2018-04-16 09:22:44","2018-04-16 09:09:23"
958,0018024213,"2018-04-16 11:59:10","2018-04-16 11:51:54"
958,0018024665,"2018-04-16 11:53:37","2018-04-16 11:51:54"
958,0018024746,"2018-04-16 10:43:47","2018-04-16 10:27:18"
958,0018025935,"2018-04-16 11:44:54","2018-04-16 11:51:54"
958,0018026724,"2018-04-16 11:52:35","2018-04-16 11:51:54"
958,0018026944,"2018-04-16 11:42:36","2018-04-16 11:51:54"
958,0018028846,"2018-04-16 11:54:48","2018-04-16 11:51:54"
958,0018032842,"2018-04-16 11:56:02","2018-04-16 11:51:54"
1427,0017978636,"2018-04-16 08:53:28","2018-04-16 09:25:17"
1427,0017992932,"2018-04-16 08:54:19","2018-04-16 09:25:17"
1427,0017993299,"2018-04-16 08:51:35","2018-04-16 09:25:17"
1427,0017999648,"2018-04-16 09:58:02","2018-04-16 10:57:08"
1427,0018011803,"2018-04-16 08:54:03","2018-04-16 09:25:17"
1427,0018014199,"2018-04-16 08:55:16","2018-04-16 09:25:17"
1427,0018015652,"2018-04-16 09:57:40","2018-04-16 10:57:08"
1773,0017999522,"2018-04-16 11:31:26","2018-04-16 11:39:36"
1773,0018016202,"2018-04-16 11:31:51","2018-04-16 11:40:13"
1773,0018016253,"2018-04-16 09:56:21","2018-04-16 10:02:18"
1776,0018004137,"2018-04-16 11:28:46","2018-04-16 11:39:13"
1776,0018008155,"2018-04-16 10:13:20","2018-04-16 11:05:30"
1776,0018009783,"2018-04-16 09:20:31","2018-04-16 09:33:08"
2781,0018017733,"2018-04-16 08:06:56","2018-04-16 08:09:43"
2781,0018021752,"2018-04-16 08:26:39","2018-04-16 08:36:34"
2901,0017993478,"2018-04-16 09:13:39","2018-04-16 09:18:12"
2901,0018009068,"2018-04-16 08:00:17","2018-04-16 08:37:32"
2901,0018021443,"2018-04-16 09:12:39","2018-04-16 09:17:02"
2901,0018022677,"2018-04-16 08:22:53","2018-04-16 08:37:32"
2901,0018025430,"2018-04-16 08:36:36","2018-04-16 08:56:19"
4950,0017972450,"2018-04-16 08:55:24","2018-04-16 08:57:18"
4950,0018009106,"2018-04-16 11:54:00","2018-04-16 11:56:10"
4950,0018011326,"2018-04-16 08:45:13","2018-04-16 08:47:31"
4950,0018011566,"2018-04-16 09:11:10","2018-04-16 09:13:07"
4950,0018016734,"2018-04-16 11:56:56","2018-04-16 12:00:45"
4950,0018017308,"2018-04-16 10:06:44","2018-04-16 10:10:49"
4950,0018022201,"2018-04-16 08:19:21","2018-04-16 08:46:37"
4950,0018024496,"2018-04-16 10:23:27","2018-04-16 10:28:37"
5001,0018001057,"2018-04-16 11:11:51","2018-04-16 11:18:08"
5001,0018001065,"2018-04-16 11:57:45","2018-04-16 12:04:38"
5001,0018013540,"2018-04-16 11:25:01","2018-04-16 11:28:08"
5001,0018022908,"2018-04-16 09:14:13","2018-04-16 09:20:54"
7070,0017997152,"2018-04-16 08:23:58","2018-04-16 08:50:43"
7070,0018010512,"2018-04-16 09:32:07","2018-04-16 10:07:51"
7070,0018021472,"2018-04-16 10:53:29","2018-04-16 12:55:26"
7120,0018015853,"2018-04-16 10:58:24","2018-04-16 11:05:54"
7987,0017960020,"2018-04-16 09:46:21","2018-04-16 09:55:38"
7987,0018006063,"2018-04-16 10:00:35","2018-04-16 10:10:13"
7987,0018017594,"2018-04-16 09:43:08","2018-04-16 09:50:13"
7987,0018022183,"2018-04-16 09:19:43","2018-04-16 09:40:40"
8256,0018000658,"2018-04-16 09:53:14","2018-04-16 10:07:16"
8256,0018009501,"2018-04-16 09:52:40","2018-04-16 10:06:47"
8256,0018024324,"2018-04-16 09:54:35","2018-04-16 10:07:16"
8256,0018024454,"2018-04-16 09:53:49","2018-04-16 10:07:16"
9489,0018019225,"2018-04-16 11:08:19","2018-04-16 11:15:21"
9586,0018007837,"2018-04-16 11:35:29","2018-04-16 11:41:51"
9586,0018017242,"2018-04-16 11:18:59","2018-04-16 11:23:17"
9831,0017964114,"2018-04-16 09:52:03","2018-04-16 09:53:35"
9831,0017984660,"2018-04-16 11:57:25","2018-04-16 12:02:54"
9831,0017989066,"2018-04-16 09:26:16","2018-04-16 09:28:47"
9831,0017989138,"2018-04-16 09:18:17","2018-04-16 09:27:06"
9831,0017994389,"2018-04-16 08:23:48","2018-04-16 08:48:52"
9831,0017994938,"2018-04-16 09:26:57","2018-04-16 09:37:56"
9831,0017996613,"2018-04-16 09:49:26","2018-04-16 09:53:21"
9831,0017997197,"2018-04-16 09:23:44","2018-04-16 09:28:47"
9831,0017997815,"2018-04-16 09:47:49","2018-04-16 09:53:21"
9831,0017998193,"2018-04-16 10:46:38","2018-04-16 10:48:14"
